"","X1B","X2B","X3B","HR","UBB","SO","IBB","HBP","SH","SF"
"1",0.156521739130435,0.0347826086956522,0.00434782608695652,0.0130434782608696,0.139130434782609,0.221739130434783,0.0130434782608696,0,0,0
"2",0.151197604790419,0.0329341317365269,0.0029940119760479,0.0179640718562874,0.0778443113772455,0.18562874251497,0.0104790419161677,0,0.00149700598802395,0.00149700598802395
"3",0.164781906300485,0.0630048465266559,0,0.0145395799676898,0.0856219709208401,0.163166397415186,0.0145395799676898,0.00484652665589661,0.00161550888529887,0.00646203554119548
"4",0.193650793650794,0.053968253968254,0.00634920634920635,0.0111111111111111,0.0634920634920635,0.117460317460317,0,0.00952380952380952,0.00634920634920635,0.00634920634920635
"5",0.122866894197952,0.0426621160409556,0.00170648464163823,0.0511945392491468,0.0870307167235495,0.307167235494881,0.0102389078498294,0.00170648464163823,0,0.00511945392491468
"6",0.136666666666667,0.05,0.0166666666666667,0.0166666666666667,0.0533333333333333,0.14,0.00333333333333333,0,0.02,0.00666666666666667
"7",0.139211136890951,0.0301624129930394,0.00232018561484919,0.0162412993039443,0.08584686774942,0.232018561484919,0,0.00464037122969838,0.0162412993039443,0.00232018561484919
"8",0.192686357243319,0.0436005625879044,0.0126582278481013,0.00421940928270042,0.080168776371308,0.135021097046413,0,0.0070323488045007,0.0239099859353024,0.00421940928270042
"9",0.168367346938776,0.0629251700680272,0.00680272108843537,0.0170068027210884,0.0714285714285714,0.0935374149659864,0.00170068027210884,0.022108843537415,0.0119047619047619,0.00850340136054422
"10",0.126344086021505,0.043010752688172,0,0.0483870967741935,0.0456989247311828,0.290322580645161,0.00268817204301075,0.00806451612903226,0.00268817204301075,0.00806451612903226
"11",0.183139534883721,0.0377906976744186,0.0145348837209302,0.0145348837209302,0.0261627906976744,0.127906976744186,0.0116279069767442,0.0145348837209302,0.00581395348837209,0.0145348837209302
"12",0.131336405529954,0.0483870967741935,0.00460829493087558,0.0207373271889401,0.135944700460829,0.23963133640553,0.00460829493087558,0.00460829493087558,0.00460829493087558,0.00460829493087558
"13",0.159340659340659,0.0512820512820513,0,0.0238095238095238,0.0421245421245421,0.141025641025641,0,0.00366300366300366,0.00549450549450549,0.010989010989011
"14",0.191681735985533,0.0560578661844485,0.00904159132007233,0.0144665461121157,0.0379746835443038,0.110307414104882,0.00180831826401447,0.00904159132007233,0.0126582278481013,0.00361663652802893
"15",0.177570093457944,0.0373831775700935,0,0,0.0841121495327103,0.191588785046729,0.00934579439252336,0,0.00467289719626168,0
"16",0.121883656509695,0.0304709141274238,0,0.0304709141274238,0.0664819944598338,0.191135734072022,0.0138504155124654,0.0193905817174515,0,0.0110803324099723
"17",0.160243407707911,0.0324543610547667,0.00202839756592292,0.0162271805273834,0.0344827586206897,0.21501014198783,0.00608519269776876,0.0162271805273834,0.0162271805273834,0.00405679513184584
"18",0.173469387755102,0.0442176870748299,0.00680272108843537,0.0119047619047619,0.054421768707483,0.0986394557823129,0.00170068027210884,0.00510204081632653,0.00510204081632653,0.00170068027210884
