"PA","singles","doubles","triples","homeruns","walks","strikeouts","intentional_walks","hbp"
230,0.1565217391304348,0.034782608695652174,0.004347826086956522,0.013043478260869565,0.15217391304347827,0.2217391304347826,0.013043478260869565,0
668,0.15119760479041916,0.03293413173652695,0.0029940119760479044,0.017964071856287425,0.08832335329341318,0.18562874251497005,0.010479041916167664,0
619,0.16478190630048464,0.0630048465266559,0,0.014539579967689823,0.10016155088852989,0.1631663974151858,0.014539579967689823,0.004846526655896607
630,0.19365079365079366,0.05396825396825397,0.006349206349206349,0.011111111111111112,0.06349206349206349,0.11746031746031746,0,0.009523809523809525
586,0.12286689419795221,0.042662116040955635,0.0017064846416382253,0.051194539249146756,0.09726962457337884,0.30716723549488056,0.010238907849829351,0.0017064846416382253
300,0.13666666666666666,0.05,0.016666666666666666,0.016666666666666666,0.056666666666666664,0.14,0.0033333333333333335,0
431,0.13921113689095127,0.030162412993039442,0.002320185614849188,0.016241299303944315,0.08584686774941995,0.23201856148491878,0,0.004640371229698376
711,0.19268635724331926,0.04360056258790436,0.012658227848101266,0.004219409282700422,0.08016877637130802,0.1350210970464135,0,0.007032348804500703
588,0.1683673469387755,0.06292517006802721,0.006802721088435374,0.017006802721088437,0.07312925170068027,0.0935374149659864,0.0017006802721088435,0.022108843537414966
372,0.12634408602150538,0.043010752688172046,0,0.04838709677419355,0.04838709677419355,0.2903225806451613,0.002688172043010753,0.008064516129032258
344,0.18313953488372092,0.0377906976744186,0.014534883720930232,0.014534883720930232,0.0377906976744186,0.12790697674418605,0.011627906976744186,0.014534883720930232
434,0.1313364055299539,0.04838709677419355,0.004608294930875576,0.020737327188940093,0.14055299539170507,0.23963133640552994,0.004608294930875576,0.004608294930875576
546,0.15934065934065933,0.05128205128205128,0,0.023809523809523808,0.04212454212454213,0.14102564102564102,0,0.003663003663003663
553,0.19168173598553345,0.05605786618444846,0.009041591320072333,0.014466546112115732,0.039783001808318265,0.11030741410488246,0.0018083182640144665,0.009041591320072333
361,0.12188365650969529,0.030470914127423823,0,0.030470914127423823,0.08033240997229917,0.19113573407202217,0.013850415512465374,0.019390581717451522
493,0.16024340770791076,0.032454361054766734,0.002028397565922921,0.016227180527383367,0.04056795131845842,0.2150101419878296,0.006085192697768763,0.016227180527383367
588,0.17346938775510204,0.04421768707482993,0.006802721088435374,0.011904761904761904,0.05612244897959184,0.09863945578231292,0.0017006802721088435,0.00510204081632653
399,0.09774436090225563,0.03508771929824561,0,0.06766917293233082,0.14786967418546365,0.15789473684210525,0.005012531328320802,0.010025062656641603
582,0.14261168384879724,0.041237113402061855,0,0.027491408934707903,0.06872852233676977,0.15292096219931273,0,0.012027491408934709
472,0.15466101694915255,0.057203389830508475,0.012711864406779662,0.014830508474576272,0.11440677966101695,0.2245762711864407,0.01059322033898305,0.006355932203389831
654,0.18807339449541285,0.05045871559633028,0.0030581039755351682,0.05504587155963303,0.05504587155963303,0.12538226299694188,0.012232415902140673,0.00764525993883792
